expansion times,odds
1,60.0
2,40.0
3,30.0
4,30.0
5,40.0
6,80.0
7,50.0
8,70.0
9,20.0
10,40.0
11,60.0
12,50.0
13,20.0
14,60.0
15,50.0
16,20.0
17,40.0
18,30.0
19,60.0
20,30.0
21,30.0
22,30.0
23,40.0
24,50.0
25,10.0
26,50.0
27,50.0
28,30.0
29,50.0
30,30.0
31,60.0
32,40.0
33,40.0
34,50.0
35,80.0
36,40.0
37,70.0
38,50.0
39,30.0
40,70.0
41,40.0
42,20.0
43,50.0
44,30.0
45,40.0
46,50.0
47,70.0
48,20.0
49,60.0
50,40.0
51,20.0
52,60.0
53,40.0
54,20.0
55,40.0
56,60.0
57,50.0
58,30.0
59,60.0
60,50.0
61,60.0
62,30.0
63,20.0
64,50.0
65,40.0
66,50.0
67,50.0
68,50.0
69,60.0
70,10.0
71,50.0
72,60.0
73,60.0
74,30.0
75,50.0
76,60.0
77,40.0
78,40.0
79,60.0
80,50.0
81,60.0
82,40.0
83,70.0
84,50.0
85,70.0
86,30.0
87,50.0
88,70.0
89,20.0
90,50.0
91,30.0
92,30.0
93,60.0
94,40.0
95,40.0
96,30.0
97,30.0
98,70.0
99,40.0
100,50.0
101,60.0
102,70.0
103,50.0
104,80.0
105,30.0
106,40.0
107,20.0
108,70.0
109,90.0
110,40.0
111,40.0
112,40.0
113,40.0
114,60.0
115,40.0
116,40.0
117,70.0
118,60.0
119,40.0
120,60.0
121,50.0
122,30.0
123,50.0
124,50.0
125,50.0
126,70.0
127,60.0
128,40.0
129,60.0
130,50.0
131,60.0
132,30.0
133,60.0
134,70.0
135,50.0
136,70.0
137,40.0
138,30.0
139,60.0
140,30.0
141,60.0
142,40.0
143,40.0
144,40.0
145,20.0
146,40.0
147,60.0
148,60.0
149,30.0
150,70.0
151,80.0
152,60.0
153,20.0
154,30.0
155,50.0
156,40.0
157,60.0
158,60.0
159,70.0
160,50.0
161,30.0
162,60.0
163,40.0
164,50.0
165,50.0
166,80.0
167,30.0
168,60.0
169,60.0
170,30.0
171,40.0
172,50.0
173,50.0
174,90.0
175,50.0
176,60.0
177,40.0
178,20.0
179,60.0
