test times,odds
1,40.0
2,30.0
3,40.0
4,30.0
5,40.0
6,60.0
7,70.0
8,20.0
9,40.0
10,50.0
11,30.0
12,30.0
13,30.0
14,30.0
15,40.0
16,40.0
17,20.0
18,30.0
19,20.0
20,50.0
21,30.0
22,60.0
23,50.0
24,50.0
25,80.0
26,20.0
27,70.0
28,50.0
29,50.0
30,80.0
31,70.0
32,40.0
33,50.0
34,50.0
35,60.0
36,70.0
37,50.0
38,70.0
39,40.0
40,50.0
41,80.0
42,50.0
43,30.0
44,60.0
45,80.0
46,60.0
47,60.0
48,30.0
49,30.0
50,40.0
51,60.0
52,20.0
53,70.0
54,40.0
55,40.0
56,50.0
57,30.0
58,30.0
59,50.0
60,50.0
61,30.0
62,70.0
63,40.0
64,40.0
65,30.0
66,10.0
67,60.0
68,70.0
69,60.0
70,50.0
71,60.0
72,50.0
73,30.0
74,20.0
75,50.0
76,30.0
77,50.0
78,30.0
79,50.0
80,80.0
81,50.0
82,50.0
83,70.0
84,40.0
85,40.0
86,70.0
87,50.0
88,40.0
89,50.0
90,30.0
91,50.0
92,20.0
93,60.0
94,60.0
95,40.0
96,30.0
97,50.0
98,50.0
99,70.0
100,40.0
101,40.0
102,40.0
103,40.0
104,60.0
105,30.0
106,10.0
107,20.0
108,30.0
109,40.0
110,60.0
111,70.0
112,60.0
113,40.0
114,30.0
115,60.0
116,20.0
117,60.0
118,20.0
119,30.0
120,60.0
121,50.0
122,30.0
123,80.0
124,10.0
125,80.0
126,20.0
127,40.0
128,30.0
129,40.0
130,50.0
131,20.0
132,40.0
133,50.0
134,70.0
135,50.0
136,40.0
137,40.0
138,70.0
139,60.0
140,30.0
141,70.0
142,60.0
143,60.0
144,40.0
145,40.0
146,30.0
147,20.0
148,10.0
149,30.0
150,20.0
151,40.0
152,80.0
153,40.0
154,40.0
155,20.0
156,60.0
157,50.0
158,60.0
159,30.0
160,50.0
161,50.0
162,50.0
163,50.0
164,20.0
165,30.0
166,30.0
167,50.0
168,60.0
169,40.0
170,40.0
171,50.0
172,50.0
173,40.0
174,60.0
175,60.0
176,60.0
177,40.0
178,60.0
179,30.0
180,40.0
181,40.0
182,50.0
183,40.0
184,50.0
185,60.0
186,80.0
187,80.0
188,50.0
189,50.0
190,50.0
191,10.0
192,40.0
193,30.0
194,50.0
195,30.0
196,50.0
197,40.0
198,30.0
199,90.0
200,50.0
201,30.0
202,60.0
203,40.0
204,40.0
205,70.0
206,70.0
207,40.0
208,50.0
209,70.0
210,40.0
211,40.0
212,70.0
213,50.0
214,20.0
215,60.0
216,50.0
217,10.0
218,20.0
219,80.0
220,60.0
221,40.0
222,40.0
223,40.0
224,40.0
225,60.0
226,60.0
227,30.0
228,70.0
229,50.0
230,70.0
231,60.0
232,10.0
233,60.0
234,40.0
235,60.0
236,50.0
237,40.0
238,30.0
239,40.0
240,70.0
241,50.0
242,50.0
243,20.0
244,40.0
245,50.0
246,60.0
247,70.0
248,80.0
249,60.0
250,70.0
251,60.0
252,70.0
253,40.0
254,50.0
255,50.0
256,40.0
257,40.0
258,40.0
259,40.0
260,70.0
261,40.0
262,40.0
263,40.0
264,60.0
265,50.0
266,40.0
267,40.0
268,40.0
269,20.0
270,40.0
271,60.0
272,50.0
273,40.0
274,50.0
275,70.0
276,60.0
277,40.0
278,20.0
279,50.0
280,40.0
281,60.0
282,50.0
283,70.0
284,40.0
285,40.0
286,20.0
287,50.0
288,50.0
289,30.0
290,10.0
291,30.0
292,40.0
293,50.0
294,50.0
295,50.0
296,30.0
297,70.0
298,20.0
299,50.0
300,40.0
301,40.0
302,50.0
303,70.0
304,50.0
305,50.0
306,40.0
307,80.0
308,40.0
309,50.0
310,70.0
311,60.0
312,80.0
313,60.0
314,40.0
315,70.0
316,50.0
317,60.0
318,30.0
319,70.0
320,50.0
321,50.0
322,60.0
323,50.0
324,50.0
325,50.0
326,40.0
327,40.0
328,40.0
329,40.0
330,40.0
331,50.0
332,40.0
333,40.0
334,60.0
335,60.0
336,70.0
337,70.0
338,40.0
339,50.0
340,60.0
341,50.0
342,60.0
343,50.0
344,30.0
345,40.0
346,60.0
347,40.0
348,20.0
349,70.0
350,40.0
351,60.0
352,50.0
353,60.0
354,30.0
355,50.0
356,30.0
357,50.0
358,30.0
359,50.0
360,20.0
361,30.0
362,60.0
363,70.0
364,30.0
365,40.0
366,60.0
367,90.0
368,50.0
369,50.0
370,40.0
371,60.0
372,60.0
373,60.0
374,60.0
375,40.0
376,20.0
377,40.0
378,50.0
379,40.0
380,80.0
381,70.0
382,40.0
383,60.0
384,20.0
385,30.0
386,30.0
387,80.0
388,70.0
389,50.0
390,50.0
391,50.0
392,40.0
393,60.0
394,80.0
395,30.0
396,40.0
397,40.0
398,70.0
399,40.0
400,50.0
401,60.0
402,30.0
403,30.0
404,60.0
405,50.0
406,50.0
407,80.0
408,50.0
409,30.0
410,30.0
411,70.0
412,50.0
413,60.0
414,60.0
415,30.0
416,50.0
417,40.0
